Names,ShortName,RA,DEC,Designation,Adopted_SpT,Chisqr,Dwarf_Type,SNR,SPT_B06,SPT_C18,SPT_K10,SpT_simbad,References,Refs.,Parallax,Parallax_err,Parallax_ref,Jmag,Hmag,Kmag,AbsMag
SDSS J000013.54+255418.6,J0000+2554,0.056416664,25.904999,J00001354+2554180,T4,19564.29,0,49,T4,T4,T4,T4.5,2006ApJ...637.1067B,1,70.8,1.9,2023ApJ...959...63S,15.06,14.73,14.84,14.31
2MASS J0000286-124515,J0000-1245,0.11945834,-12.75425,J00002867-1245153,M9,21493.63,0,165,M9,M9,M9,M9.2V,2014ApJ...794..143B,2,30.269,0.407,2020yCat.1350....0G,13.2,12.44,11.97,10.6
SDSS J000112.18+153535.5,J0001+1535,0.30075002,15.593194,J00011218+1535355,L3gamma,2827.88,1,24,L3gamma,L3gamma,L3gamma,L4,2004AJ....127.3553K,3,31.629,1.802,2018yCat.1345....0G,15.52,14.5,13.71,13.02
WISE J000131.93-084126.9,J0001-0841,0.38304168,-8.6905556,J00013193-0841269,d/sdL1,7063.56,-1,34,d/sdL1,d/sdL1,d/sdL1,L1pec,2014ApJ...787..126L,4,20.253,1.429,2020yCat.1350....0G,15.71,15.03,14.7,12.24
SDSS J00015431-09430070,J0001-0943,0.47629172,-9.7168608,J00015431-09430070,M8beta,902.96,2,49,M8beta,M8beta,M8beta,,2018A&A...619L...8R,5,14.683,0.315,2020yCat.1350....0G,14.79,14.17,13.82,10.63
SDSS J00015458-09425809,J0001-0942,0.47741666,-9.7161112,J00015458-09425809,M6,3659.25,0,87,M6,M6,M6,,This paper,6,15.239,0.154,2020yCat.1350....0G,14.02,13.44,13.14,9.94
SDSS J000250.98+245413.8,J0002+2454,0.71237504,24.903915,J00025097+2454141,L6,2957.27,0,16,L6,L4,L5,L5.5,2006AJ....131.2722C,7,,,,17.16,16.06,15.66,
2MASS J00045618+0451168,J0004+0451,1.234375,4.857247222,J00045618+0451168,M1,3379.39,0,49,M1,M0,M0,,2016A&A...589A..49S,8,9.275,0.159,2020yCat.1350....0G,14.3,13.69,13.38,9.14
NLTT 184,J0005+0723,1.4382085,7.3950834,J00054517+0723423,sdM4,4404.82,-2,84,sdM4,M4,M4,sdM6,2010ApJS..190..100K,9,5.865,0.122,2020yCat.1350....0G,14.81,14.34,14.03,8.65
LEHPM 1-162,J0005-2157,1.4486667,-21.954889,J00054768-2157176,M8,19088.51,0,205,M8,M8,M8,M8.7V,2014ApJ...794..143B,2,39.377,0.153,2020yCat.1350....0G,13.27,12.62,12.2,11.25
2MASSI J0006205-172051,J0006-1720,1.5854167,-17.347389,J00062050-1720506,L2,2392.99,0,79,L2,L2,L2,L3.0V,2014ApJ...794..143B,2,25.178,1.883,2018yCat.1345....0G,15.66,14.65,14.01,12.67
2MASS J00062250+1300451,J0006+1300,1.59675,13.01030278,J00062250+1300451,L1beta,2220.46,2,24,L1beta,L1beta,L1beta,L2,2017AJ....154..112K,10,,,,16.96,15.93,15.25,
WISE J000622.67-131955.2,J0006-1319,1.5944583,-13.331944,J00062267-1319552,L8,1268.31,0,16,L8,L8,L8,L7,2014ApJ...787..126L,4,,,,16.67,15.55,15.12,
WISE J00062785+1857288,J0006+1857,1.61604167,18.9578,J00062785+1857288,L7,1838.67,0,24,L6beta,L6beta,L6beta,,2016ApJ...817..112S,11,,,,17.14,15.69,14.84,
SDSS J000632.60+140606.4,J0006+1406,1.6358334,14.101778,J00063260+1406064,M9gamma,4735.25,1,47,M9gamma,L1,L1,L0.4V,2014ApJ...794..143B,2,,,,15.85,15.3,15.06,
SDSS J000646.81+151225.8,J0006+1512,1.6950417,15.207167,J00064681+1512258,L3,3370.6,0,69,L3,L3,L4,L4.3V,2014ApJ...794..143B,2,,,,16.22,15.25,14.81,
2MASS J00065722+0236124,J0006+0236,1.739916667,2.60695,J00065722+0236124,L2,4936.92,0,55,L2,L2,L2,L2,2017AJ....154..112K,10,,,,16.35,15.33,14.81,
LEHPM 1-204,J0007-3128,1.8509166,-31.476389,J00072422-3128350,esdM0,856.49,-3,24,esdM0,esdM0,M1,,2010ApJS..190..100K,9,4.472,0.215,2020yCat.1350....0G,16.31,15.47,15.52,9.56
2MASS J00082822+3125581,J0008+3125,2.118583333,31.43335833,J00082822+3125581,M8beta,4350.23,2,41,M8beta,M8,M8,M7,2017AJ....154..112K,10,11.356,0.567,2020yCat.1350....0G,15.61,15.02,14.67,10.89
2MASS J00085931+2911521,J0008+2911,2.2471251,29.197805,J00085931+2911521,M8,17238.29,0,229,M8,M8,M8,M8.5,2010ApJS..190..100K,9,25.941,0.178,2020yCat.1350....0G,13.83,13.13,12.69,10.9
2MASS J00100009-2031122,J0010-2031,2.500375,-20.520056,J00100009-2031122,M8,28679.23,0,165,M8,M8,M8,L0,2014ApJ...794..143B,2,35.658,0.294,2020yCat.1350....0G,14.13,13.37,12.88,11.89
2MASS J00115060-1523450,J0011-1523,2.9608333,-15.395833,J00115060-1523450,M7,8573.36,0,44,M7,M7,M7gamma,M7.5Ve,2004AJ....127.2856B,12,8.209,0.692,2020yCat.1350....0G,15.93,15.64,15.26,10.5
2MASSI J0013578-223520,J0013-2235,3.4907918,-22.58889,J00135779-2235200,L5,2455.6,0,44,L5,L5,L5,L5.7V,2014ApJ...794..143B,2,38.045,1.577,2020yCat.1350....0G,15.78,14.6,14.04,13.68
WISE J001450.14-083823.1,J0014-0838,3.7089167,-8.6397219,J00145014-0838231,d/sdM9,10242.64,-1,54,d/sdM9,M6,M7,sdL0,2014ApJ...787..126L,4,19.891,0.196,2020yCat.1350....0G,14.47,13.95,13.77,10.96
2MASS J00145575-4844171,J0014-4844,3.7322917,-48.738083,J00145575-4844171,L2beta,10789.5,2,79,L2beta,L3,L3,L2.5,2008ApJ...689.1295K,13,50.776,0.24,2020yCat.1350....0G,14.05,13.11,12.72,12.58
2MASS J00150206+2959323,J0015+2959,3.7585835,29.992306,J00150206+2959323,L6,3585.09,0,30,L6,L6,L8,L8.5,2010ApJS..190..100K,9,31.6,3.3,2020AJ....159..257B,16.16,15.23,14.48,13.66
2MASS J00150673+3006004,J0015+3006,3.779833333,30.10030278,J00150673+3006004,L3,1182.78,0,37,L3,L3,L2,L2 ,2017AJ....154..112K,10,,,,16.1,15.06,14.4,
2MASSW J0015447+351603,J0015+3516,3.9364998,35.267387,J00154476+3516026,L2,19457.31,0,161,L2,L1beta,L2,L1.0V,2014ApJ...794..143B,2,58.75,0.268,2020yCat.1350....0G,13.88,12.89,12.26,12.72
SDSS J001608.44-004302.3,J0016-0043,4.0351253,-0.71722221,J00160843-00430209,L6,2957.47,0,56,L6,L3,L3,L5.5,2014ApJ...794..143B,2,,,,16.33,15.23,14.54,
2MASS J00163761+3448368,J0016+3448,4.1567087,34.810223,J00163761+3448368,M8,4735.91,0,63,M8,M8,M8,M8.5,2010ApJS..190..100K,9,23.454,0.362,2020yCat.1350....0G,14.78,14.16,13.78,11.64
SDSS J001637.62-103911.2,J0016-1039,4.1567502,-10.653111,J00163762-1039112,M9,3106.92,0,44,M9,M8,M8,L0e,2014ApJ...794..143B,2,15.93,0.672,2020yCat.1350....0G,15.46,14.78,14.53,11.47
PSO J004.1834+23.0741,J0016+2304,4.18316667,23.07390833,J00164396+2304267,T0,1709.33,0,25,T0,T0,T0,T0,2015ApJ...814..118B,14,38.4,3.3,2020AJ....159..257B,16.41,15.7,14.97,14.33
WISE J00164397+2304265,J0016+2304,4.18320833,23.07390278,J00164397+2304265,T0,4186.57,0,25,T0,T0,T1,T0,2016ApJ...817..112S,11,38.4,3.3,2020AJ....159..257B,16.41,15.7,14.97,14.33
2MASS J00165953-4056541,J0016-4056,4.2480421,-40.94836,J00165953-4056541,L3gamma,11367.18,1,73,L3gamma,L3beta,L3beta,L5.5,2010ApJ...710.1142B,15,28.824,0.966,2020yCat.1350....0G,15.32,14.21,13.43,12.61
LSPM J0018+2853,J0018+2853,4.5271668,28.890528,J00180652+2853259,sdM6,1767.01,-2,37,sdM6,sdM5,sdM5,,2005AJ....129.1483L,16,5.488,0.245,2020yCat.1350....0G,16.2,15.62,15.49,9.89
PSO J004.7148+51.8918,J0018+5153,4.714625,51.89168333,J00185151+5153306,L6gamma,3221.44,1,24,L6gamma,L6beta,L6gamma,L7,2015ApJ...814..118B,14,,,,16.82,15.29,14.64,
SDSS J001911.65+003017.8,J0019+0030,4.7985415,0.50488889,J00191165+0030176,L2beta,2778.63,2,90,L2beta,L2beta,L2beta,L0.4V,2014ApJ...794..143B,2,25.48,0.486,2020yCat.1350....0G,14.92,14.18,13.57,11.95
2MASS J00193927-3724392,J0019-3724,4.9136248,-37.410889,J00193927-3724392,L3,2291.46,0,27,L3,L2,L3,L3,2010ApJ...710.1142B,15,25.008,1.385,2020yCat.1350....0G,15.52,14.47,13.69,12.51
2MASS J0019457+521317,J0019+5213,4.9404168,52.22139,J0019457+521317,M8,9372.48,0,102,M8,M8,M8,M9,2003AJ....126.2421C,17,50.307,0.117,2020yCat.1350....0G,12.79,12.07,11.62,11.3
DENIS-P J0020.9-4414,J0020-4414,5.2492504,-44.242779,J00205982-4414340,M9gamma,2728.88,1,38,M9gamma,L1,L1,M9.4V,2014ApJ...794..143B,2,19.541,0.426,2020yCat.1350....0G,14.9,14.2,13.71,11.35
LEHPM 1-494B,J0021-4244,5.2745419,-42.745361,J00210589-4244433,L1,5487.58,0,101,L1,L1,L1,L0.6:V,2014ApJ...794..143B,2,37.934,0.404,2020yCat.1350....0G,13.52,12.81,12.3,11.42
SDSS J00220934-0110397,J0022-0110,5.5389166,-1.1776944,J00220934-0110397,M8,5058.72,0,68,M8,M8,M8,L0,2014ApJ...794..143B,2,14.495,0.792,2020yCat.1350....0G,15.82,15.09,14.7,11.62
2MASS J00234750-3239250,J0023-3239,5.9479165,-32.656944,J00234750-3239250,M7gamma,20881.04,1,170,M7gamma,M8beta,M7gamma,M7,2007AJ....133..439C,18,23.071,0.114,2020yCat.1350....0G,12.62,11.96,11.63,9.43
DY Psc,J0024-0158,6.1047502,-1.9712778,J00242514-0158166,L1,6632.35,0,216,L1,L1,L1,M9.5V,2014ApJ...794..143B,2,80.344,0.188,2020yCat.1350....0G,11.99,11.08,10.54,11.52
2MASS J00264045+0632151,J0026+0632,6.6685414,6.5377498,J00264045+0632159,L1,5476.27,0,95,L1,L1,L1,M9.5,2016A&A...589A..49S,8,31.878,0.387,2020yCat.1350....0G,14.57,13.75,13.22,12.09
2MASS J00265329-0936267,J0026-0936,6.722083333,-9.607244444,J00265330-0936268,L0,2984.92,0,49,L0,M9,M9,M9,2016ApJ...830..144R,19,,,,16.18,15.32,14.83,
LEHPM 1-606,J0027-1813,6.7937083,-18.218973,J00271049-1813083,M8beta,12422,2,165,M8beta,M8beta,M8beta,M8.0,2014ApJ...794..143B,2,25.07,0.132,2020yCat.1350....0G,13.45,12.85,12.43,10.44
PC 0025+04,J0027+0503,6.9248748,5.0615835,J00274197+0503417,M9gamma,2744.09,1,53,M9gamma,M9gamma,M9gamma,L1.0,2022A&A...664A.111B,20,10.4,0.8,2016ApJ...833...96L,16.19,15.29,14.96,11.27
LP 349-25A,J0027+2219,6.9829168,22.325556,J0027559+221932,M8beta,3921.02,2,105,M8beta,M8beta,M8beta,M8Ve,2021ApJS..257...45H,21,70.781,0.427,2020yCat.1350....0G,10.61,9.97,9.57,9.86
2MASS J0028208+224905,J0028+2249,7.0866666,22.818056,J0028208+224905,L6,3047.59,0,32,L6,L6,L6,L6.0,2010ApJ...710.1142B,15,42.888,1.645,2020yCat.1350....0G,15.61,14.47,13.78,13.77
2MASSI J0028394+150141,J0028+1501,7.1642914,15.028277,J00283943+1501418,L2gamma,6445.81,1,49,L2gamma,L3beta,L4gamma,L4.5V,2011AJ....141...70B,22,,,,16.51,15.26,14.56,
2MASS J00285545-1927165,J0028-1927,7.2310414,-19.454584,J00285545-1927165,L1,2376.53,0,66,L1,L1,L1,L0.7V,2014ApJ...794..143B,2,25.742,0.284,2020yCat.1350....0G,14.19,13.33,12.84,11.24
2MASSW J0030300-145033,J0030-1450,7.6255417,-14.842583,J00303013-1450333,L7,2792.53,0,45,L6beta,L6beta,L6beta,L7V,2010ApJ...710.1142B,15,37.42,4.5,2012ApJ...752...56F,16.28,15.27,14.48,14.14
2MASSW J0030438+313932,J0030+3139,7.6826663,31.658916,J00304384+3139321,L2,4008.92,0,66,L2,L2,L2,L2V,2014ApJ...794..143B,2,22.31,1.1,2020yCat.1350....0G,15.48,14.62,14.03,12.22
