Names,RF_SpT,SVM_SpT,KNN_SpT,SNR,Adopted_SpT
spex-prism_J0014-0838_Luhman2014.txt,sdM9,sdM9,d/sdM7,31,sdL0
spex-prism_J0115+3130_Burgasser2004.txt,d/sdM8,d/sdM8,d/sdM9,28,d/sdM8
spex-prism_J0306-0330_Kirkpatrick2014.txt,d/sdM9,d/sdM9,d/sdM9,52,sdL0
spex-prism_J0330-2348_Bardalez2014.txt,esdM5,esdM6,esdM5,28,sdM8
spex-prism_J0402+1730_Bardalez2014.txt,d/sdM4,sdM4,d/sdM4,24,sdM8
spex-prism_J0435+2115_Luhman2014.txt,sdM9,d/sdM9,d/sdM9,29,sdL0
spex-prism_J0447-1946_Kirkpatrick2010-2.txt,sdM8,sdM7,sdM8,29,sdM8
spex-prism_J1312+1731_Bowler2009.txt,d/sdL0,d/sdL0,d/sdL1,25,d/sdM8
spex-prism_J1359+3031_Burgasser2004.txt,d/sdM7,d/sdM5,d/sdM5,33,d/sdM5
spex-prism_J1541+5425_Burgasser2004.txt,d/sdM5,d/sdM5,d/sdM5,34,d/sdM5
spex-prism_J1559-0356_Burgasser2004.txt,d/sdM9,d/sdM8,d/sdM9,22,d/sdM8
spex-prism_J1640+1231_Burgasser2004.txt,d/sdM9,sdM9,d/sdM9,28,sdL0
spex-prism_J1640+2922_Burgasser2004.txt,d/sdM5,d/sdM5,d/sdM5,12,d/sdM8
spex-prism_J1826+3014_Bardalez2014.txt,d/sdM8,d/sdM8,d/sdM8,119,d/sdM8
spex-prism_J1826+3014_Burgasser2004.txt,d/sdM8,d/sdM8,d/sdM8,225,d/sdM8
spex-prism_J2036+5059_Burgasser2004.txt,sdM7,sdM8,sdM8,199,sdM8
spex-prism_J2331+4607_Bardalez2014.txt,d/sdM7,sdM5,d/sdM5,33,d/sdM5
SDSS J000013.54+255418.6,T4,T4,T4,49,T4
2MASS J0000286-124515,M9,M9,M9,165,M9
SDSS J000112.18+153535.5,L3gamma,L3gamma,L3gamma,24,L3gamma
WISE J000131.93-084126.9,d/sdL1,d/sdL1,d/sdL1,34,d/sdL1
SDSS J00015431-09430070,M8beta,M8beta,M8beta,49,M8beta
2MASS J00045618+0451168,M0,M0,M1,49,M1
NLTT 184,sdM2,sdM4,sdM4,84,sdM4
LEHPM 1-162,M8,M8,M8,205,M8
2MASSI J0006205-172051,L3,L2,L2,79,L2
2MASS J00062250+1300451,L1,L1,L1beta,24,L1beta
WISE J000622.67-131955.2,L9,L9,L9,16,L8
WISE J00062785+1857288,L7,L7,L7,24,L7
SDSS J000632.60+140606.4,L0,L0,M9gamma,47,M9gamma
SDSS J000646.81+151225.8,L3,L4,L3,69,L3
2MASS J00065722+0236124,L2,L3,L2,55,L2
LEHPM 1-204,esdM4,esdM0,esdM0,24,esdM0
2MASS J00082822+3125581,M8,M8,M8beta,41,M8beta
2MASS J00085931+2911521,M8,M8,M8,229,M8
2MASS J00100009-2031122,M8,L0,M8,165,M8
2MASSI J0013578-223520,L5,L5,L5,44,L5
2MASS J00145575-4844171,L2,L2,L2beta,79,L2beta
2MASS J00150206+2959323,L9,L5,L5,30,L6
2MASS J00150673+3006004,L3,L3,L3,37,L3
